name,current_price,market_cap,volume_day,circulating_supply,supply_verified,total_supply,max_supply,fully_diluted_market_cap,low_price_day,high_price_day,all_time_high,all_time_low,ucid,popularity_watchlists
Maek Amuruca Graet Agun,7.209e-05,71365.0,140562.0,989994409.0,not verified,989994409.0,989994409.0,71365.0,6.956e-05,8.151e-05,0.001035,6.442e-05,31852,119.0
BANKSY,0.0001339,98011.0,141549.0,731720399.0,not verified,0.0,,0.0,0.0001258,0.0003708,0.002285,6.191e-05,32176,317.0
Ponzio The Cat,172.93,49142227.0,133522.0,284180.0,not verified,284180.0,284180.0,49142227.0,147.4,172.93,172.93,7.74,32188,99.0
PEGA,4.218e-12,177496.0,139847.0,4.2069e+16,not verified,4.2069e+16,4.2069e+16,177496.0,3.423e-12,1.618e-11,1.618e-11,3.423e-12,32491,10400.0
Pickle Rick,0.0002139,192431.0,123142.0,899507553.0,not verified,1000000000.0,,213930.0,0.0001807,0.0002864,0.01751,0.0001428,31637,45528.0
Poo Chi,3.81e-07,381027.0,136436.0,1000000000000.0,not verified,1000000000000.0,1000000000000.0,381027.0,3.329e-07,6.509e-07,1.102e-06,3.329e-07,32451,75.0
NORMIE,0.007535,7338830.0,132829.0,974000000.0,not verified,1000000000.0,1000000000.0,7534733.0,6.865e-08,0.008776,0.07238,6.865e-08,30936,3581.0
Bulei,8.921e-07,375310.0,148079.0,420690000000.0,not verified,420690000000.0,420690000000.0,375310.0,8.844e-07,1.122e-06,1.776e-05,8.844e-07,31814,763.0
monkeyhaircut,0.004008,4006907.0,134483.0,999734842.0,not verified,1000000000.0,,4007969.0,0.003957,0.005147,0.02811,0.003192,31194,322.0
Chihuahua,5.453e-05,5101527.0,129773.0,93549862103.0,not verified,103000000000.0,,5616869.0,5.396e-05,5.708e-05,0.009854,1.722e-05,17208,8891.0
Game of Memes,0.001339,872315.0,121767.0,651476206.0,not verified,651499718.0,,872346.0,0.001326,0.001637,0.01193,0.001269,31261,1744.0
UPTOS,1.569e-05,1394398.0,127133.0,88888888888.0,not verified,88888888888.0,88888888888.0,1394398.0,1.553e-05,1.63e-05,0.0003331,1.361e-05,30366,659.0
Andy (Base),0.0103,10296242.0,122212.0,1000000000.0,not verified,1000000000.0,1000000000.0,10296242.0,0.009737,0.01134,18.85,0.006869,30453,3807.0
COFFEE,0.01743,1742628.0,131131.0,99999999.0,not verified,99999999.0,99999999.0,1742628.0,0.01734,0.01902,0.09663,0.01734,32056,904.0
Shitcoin,0.01402,1013960.0,122140.0,72300000.0,not verified,100000000.0,100000000.0,1402434.0,0.01325,0.01429,0.06171,0.01325,31252,2047.0
PeiPei (BSC),4.246e-09,1786283.0,118318.0,420690000000000.0,not verified,420690000000000.0,420690000000000.0,1786283.0,3.627e-09,4.843e-09,1.057e-08,2.936e-10,31877,1123.0
Kamala Harris,0.006994,698346.0,118952.0,99845739.0,not verified,99845739.0,99845739.0,698346.0,0.005972,0.009775,0.03484,0.00564,32366,1976.0
Joram Poowel,0.00171,1709880.0,115309.0,999679238.0,not verified,999679238.0,,1709880.0,0.001561,0.00203,0.01166,0.00111,30254,11063.0
Thing,1.735e-07,173465.0,118132.0,1000000000000.0,not verified,1000000000000.0,1000000000000.0,173465.0,1.722e-07,1.737e-07,4.039e-06,4.025e-08,27916,1059.0
BNB DOG INU,2.294e-14,2.0,118032.0,100000000000000.0,not verified,1.96e+18,1.96e+18,44956.0,2.293e-14,2.296e-14,3.425e-10,1.6e-15,27881,11620.0
AMC,1.544e-08,535589.0,115277.0,34690000000000.0,not verified,34690000000000.0,34690000000000.0,535589.0,1.522e-08,2.748e-08,2.206e-07,1.522e-08,31871,12284.0
Bamboo on Base,0.02234,22338675.0,88846.0,1000000000.0,not verified,1000000000.0,1000000000.0,22338675.0,0.02009,0.02304,0.04894,0.004517,32180,199.0
BilliCat,0.002514,251409.0,114794.0,100000000.0,not verified,100000000.0,100000000.0,251409.0,0.002512,0.002637,0.04655,,9531,7437.0
Derp,4.302e-09,342130.0,108401.0,79526833726286.0,not verified,100000000000000.0,100000000000000.0,430206.0,4.288e-09,4.379e-09,3.195e-07,4.288e-09,28472,900.0
ShibaDoge,3.7e-17,4172208.0,112119.0,1.128746335765255e+23,not verified,0.0,4.2e+23,15524546.0,3.3e-17,3.7e-17,5.654e-11,,16500,33461.0
spurdo,3.761e-09,232670.0,109813.0,61868267239629.0,not verified,69000000000000.0,69000000000000.0,259491.0,3.752e-09,3.763e-09,1.266e-07,1.391e-09,27855,827.0
LANDWOLF (AVAX),1.002e-05,5512808.0,110968.0,550000000000.0,not verified,550000000000.0,690000000000.0,6916068.0,9.833e-06,1.112e-05,8.566e-05,1.536e-06,28746,6056.0
XFLOKI,6.048e-07,60478.0,110336.0,100000000000.0,not verified,100000000000.0,100000000000.0,60478.0,6.042e-07,6.054e-07,7.05e-06,3.244e-07,27713,321.0
Crazy Frog,0.0001366,136565.0,109705.0,1000000000.0,not verified,1000000000.0,1000000000.0,136565.0,0.0001336,0.0001366,0.004318,0.0001,28977,865.0
rexwifhat,0.003026,1512090.0,112971.0,499758137.0,not verified,500000000.0,500000000.0,1512822.0,0.002794,0.003601,0.01007,0.002794,32101,321.0
HarryPotterObamaWallStreetBets10Inu,0.03994,39936.0,110136.0,1000000.0,not verified,1000000.0,1000000.0,39936.0,0.03992,0.03998,7.0,0.0032,27867,375.0
POGAI,2.803e-05,2800247.0,105086.0,99900000000.0,not verified,100000000000.0,100000000000.0,2803050.0,7.981e-06,2.948e-05,0.001145,7.981e-06,24859,5415.0
Gaga (Pepe),2.203e-09,927024.0,94637.0,420690000000000.0,not verified,420690000000000.0,,927024.0,2.168e-09,2.511e-09,2.564e-08,3.381e-10,30142,12237.0
TOAD,7.736e-06,3254652.0,89561.0,420690000000.0,not verified,420690000000.0,420690000000.0,3254652.0,7.62e-06,3.195e-05,0.01394,2.618e-07,28750,916.0
Memetic / PepeCoin,0.01371,590518.0,104434.0,43081209.0,not verified,133769419.0,,1833591.0,0.01351,0.01486,1.89,,1191,2971.0
DORK LORD,0.0003453,345324.0,105884.0,1000000000.0,not verified,1000000000.0,1000000000.0,345324.0,0.000342,0.0003801,0.02131,0.000342,27992,7395.0
Fine,4.38e-09,1842774.0,105303.0,420690000000000.0,not verified,420690000000000.0,420690000000000.0,1842774.0,4.286e-09,4.588e-09,5.062e-08,2.926e-09,28052,6958.0
MAGA,0.03521,1654833.0,101568.0,47000000.0,not verified,47000000.0,47000000.0,1654833.0,0.03093,0.04478,0.337,0.02126,31692,6157.0
Family,0.0003475,346888.0,104002.0,998191414.0,not verified,998191414.0,,346888.0,0.0003288,0.0003903,0.01323,0.0002738,29852,2351.0
lmeow,0.009144,9143519.0,97349.0,1000000000.0,not verified,1000000000.0,1000000000.0,9143519.0,0.008944,0.01055,0.08059,0.00318,29995,1131.0
Feisty Doge NFT,0.0001296,0.0,109275.0,0.0,not verified,100000000000.0,,12958865.0,4.001e-06,0.0001537,0.001614,4.001e-06,11368,1954.0
Call of Memes Yachts Club,1.855e-09,3894538.0,96820.0,2100000000000000.0,not verified,2100000000000000.0,2100000000000000.0,3894538.0,1.741e-09,2.06e-09,5.804e-09,1.353e-09,31771,631.0
MAGA,0.02509,1161365.0,95013.0,46292891.0,not verified,46292891.0,,1161365.0,0.02251,0.03137,0.0738,0.01327,31662,849.0
Nigi,0.0002507,246913.0,94141.0,985000000.0,not verified,985000000.0,,246913.0,0.000232,0.0003253,0.002467,0.0001415,31542,611.0
Caprisun Monkey,0.0007959,756078.0,92458.0,949987077.0,not verified,0.0,,0.0,0.0007933,0.001149,0.003214,0.0004938,31715,84.0
Bird Dog,7.434e-06,3127229.0,86951.0,420690000000.0,not verified,420690000000.0,420690000000.0,3127229.0,6.183e-06,7.585e-06,5.596e-05,2.453e-06,30787,2515.0
Biao Coin,8.763e-05,876311.0,86368.0,10000000000.0,not verified,10000000000.0,,876311.0,8.694e-05,0.0001545,0.001722,3.797e-05,30997,395.0
MAGA,1.59e-07,486199.0,78169.0,3057920576042.0,not verified,100000000000000.0,100000000000000.0,15899651.0,1.572e-07,1.688e-07,1.334e-06,4.193e-08,28514,6790.0
SATOSHI•NAKAMOTO,0.7717,12964270.0,88132.0,16800000.0,not verified,21000000.0,21000000.0,16205338.0,0.7456,0.8641,5.45,0.6912,30808,2387.0
Cate Coin,0.00105,104956.0,84176.0,100000000.0,not verified,100000000.0,100000000.0,104956.0,0.0009327,0.001659,0.001659,0.0009327,32501,27.0
Abble,0.001592,1592353.0,81543.0,1000000000.0,not verified,1000000000.0,,1592353.0,0.001549,0.001874,0.01593,0.001547,30406,1269.0
Davinci Jeremie,0.0008344,834351.0,102479.0,999935719.0,not verified,999935719.0,,834351.0,0.0006859,0.0009971,0.003229,0.0006859,31816,368.0
Conan,4.726e-06,4726834.0,77926.0,1000000000000.0,not verified,1000000000000.0,1000000000000.0,4726834.0,4.473e-06,5.025e-06,2.737e-05,3.411e-06,30886,2674.0
Doge 2.0,3.379e-09,1421621.0,77691.0,420690000000000.0,not verified,420690000000000.0,420690000000000.0,1421621.0,3.364e-09,3.538e-09,2.815e-08,2.435e-09,27459,2426.0
Roaring Kitty,0.002265,2264562.0,77358.0,1000000000.0,not verified,1000000000.0,1000000000.0,2264562.0,0.002265,0.002438,0.002754,0.001481,32137,164.0
Lesbian Inu,2.092e-10,2093.0,76222.0,10000000000000.0,not verified,1000000000000000.0,1000000000000000.0,209341.0,2.09e-10,2.199e-10,7.947e-08,1.299e-10,30042,20487.0
POG,0.008448,1942585.0,78885.0,229949915.0,not verified,1729949915.0,2000000000.0,16895719.0,0.007866,0.008865,0.0531,0.00505,31087,113.0
INU,6.239e-09,598941.0,75173.0,96000000000000.0,not verified,100000000000000.0,100000000000000.0,623897.0,6.239e-09,7.01e-09,1.209e-07,1.79e-09,26676,1312.0
Sponge,0.0007009,17277868.0,74822.0,24651550674.0,not verified,40400000000.0,40400000000.0,28315698.0,6.921e-06,0.0007313,0.002394,6.921e-06,24929,10473.0
KAMALA HARRIS,1.979e-12,83252.0,75855.0,4.2069e+16,not verified,4.2069e+16,4.2069e+16,83252.0,9.939e-13,4.315e-12,2.423e-11,8.962e-13,32356,10869.0
Kem Jeng Un,0.001008,1007833.0,73692.0,1000000000.0,not verified,1000000000.0,1000000000.0,1007833.0,0.0009839,0.001345,0.001609,0.000698,32424,86.0
Dr. Livesey,0.004669,443539.0,73363.0,95000000.0,not verified,100000000.0,100000000.0,466883.0,0.004591,0.005309,0.008008,0.004591,32139,77.0
Perro Dinero,0.001044,1043715.0,61925.0,1000000000.0,not verified,1000000000.0,1000000000.0,1043715.0,0.0008753,0.001253,0.009495,5.354e-05,28937,11282.0
Young Peezy AKA Pepe,0.003211,3211461.0,71129.0,1000000000.0,not verified,1000000000.0,1000000000.0,3211461.0,0.002188,0.004106,0.01802,0.001223,30648,2439.0
A Gently Used 2001 Honda Civic,0.004911,1634851.0,65998.0,332906287.0,not verified,332906748.0,,1634854.0,0.004787,0.005802,0.09143,0.003866,28952,2022.0
MAGA Trump,0.0002454,245413.0,65014.0,1000000000.0,not verified,999999998.0,1000000000.0,245413.0,0.0002376,0.00031,0.0007008,4.471e-05,30264,1786.0
CANNFINITY,0.009781,32865068.0,65887.0,3360000000.0,not verified,4200000000.0,4200000000.0,41081335.0,0.009772,0.009859,0.03399,0.006863,30776,169.0
Max,0.003436,34361738.0,67150.0,9999999984.0,not verified,9999999984.0,9999999984.0,34361738.0,0.002135,0.005266,0.04689,0.0004991,32162,233.0
Girls Club,1.676e-05,1099927.0,65896.0,65626305162.0,not verified,69420777444.0,69420777444.0,1163524.0,4.021e-06,2.181e-05,3.877e-05,4.021e-06,32315,10199.0
Spix,2.04e-08,6120.0,64270.0,300000000000.0,not verified,1000000000000.0,1000000000000.0,20400.0,2.04e-08,1.036e-07,0.00193,1.089e-09,29692,513.0
Matt Furie's Mellow Man,0.02179,1512782.0,65381.0,69420000.0,not verified,69420000.0,69420000.0,1512782.0,0.01536,0.02707,0.06191,0.01178,32172,23069.0
Anon,0.006768,5642170.0,60537.0,833688741.0,not verified,888880832.0,888888888.0,6015749.0,0.006667,0.006916,0.02031,0.003272,30846,2470.0
Block Chain People,0.04052,850966.0,63131.0,21000000.0,not verified,21000000.0,21000000.0,850966.0,0.03724,0.04077,40.4,0.03724,31285,807.0
FEED EVERY GORILLA,0.0003672,36723040.0,62570.0,100000000000.0,not verified,99969982390.0,100000000000.0,36723040.0,0.0003646,0.0003789,0.0004105,0.0002778,32074,71783.0
Gentleman,0.001052,1052320.0,60661.0,1000000000.0,not verified,1000000000.0,1000000000.0,1052320.0,1.153e-06,0.001226,0.003278,1.153e-06,32106,127.0
4-CHAN,2.272e-14,1747156.0,62392.0,7.68979784274917e+19,not verified,8.73127304044517e+19,,1983784.0,2.243e-14,2.517e-14,3.02e-12,4.107e-15,24882,5783.0
Tonald Trump,0.002359,2359490.0,59514.0,1000000000.0,not verified,1000000000.0,1000000000.0,2359490.0,3.155e-06,0.00253,0.01158,3.155e-06,30762,868.0
WHISKEY,0.0004964,496375.0,58284.0,999999111.0,not verified,999999111.0,999999111.0,496375.0,0.0003305,0.0005887,0.0008136,5.647e-05,31944,233.0
Welshcorgicoin,0.001861,18609977.0,59693.0,10000000000.0,not verified,10000000000.0,10000000000.0,18609977.0,0.00178,0.001951,0.01546,0.001321,29079,7061.0
CATX,1.023e-06,306856.0,58898.0,300000000000.0,not verified,1000000000000.0,1000000000000.0,1022853.0,6.617e-08,1.047e-06,2.187e-05,1.124e-09,31291,422.0
Eddie Seal,0.0004549,454932.0,57757.0,1000000000.0,not verified,1000000000.0,,454932.0,0.0003792,0.0006959,0.00166,0.0001319,31723,313.0
sacré bleu,5.694e-05,56943.0,45323.0,1000000000.0,not verified,1000000000.0,1000000000.0,56943.0,5.458e-05,0.0001366,0.0001642,5.458e-05,32482,50.0
Muzki,0.0004459,445816.0,57075.0,999913834.0,not verified,999913834.0,,445816.0,0.0004281,0.0006801,0.005735,0.0001023,31333,304.0
TAO INU,0.004923,4564859.0,58968.0,927253621.0,not verified,927253621.0,1000000000.0,4922988.0,0.004784,0.004992,0.04151,0.004321,29554,1444.0
WoofWork.io,0.0002205,1741616.0,56283.0,7900000000.0,not verified,7900000000.0,7900000000.0,1741616.0,0.0002189,0.0002332,0.004292,0.0001874,23371,1581.0
TrumpMAGA,3.722e-07,145174.0,56403.0,390000000000.0,not verified,390000000000.0,420690000000.0,156598.0,3.666e-07,4.255e-07,4.387e-06,2.739e-07,31597,372.0
bozoHYBRID,0.004693,3754517.0,54187.0,799969400.0,not verified,800000000.0,,3754661.0,0.003677,0.005901,0.05417,0.003677,29308,1499.0
AVAX HAS NO CHILL,0.003586,5558596.0,52201.0,1550000000.0,not verified,1550000000.0,1550000000.0,5558596.0,0.003472,0.003821,0.03155,0.001874,29681,2603.0
Foxify,0.2303,1427844.0,53966.0,6199781.0,not verified,10654824.0,10654824.0,2453866.0,0.2263,0.2436,0.4912,0.2209,30602,340.0
Pepe Trump,0.0006312,629310.0,58766.0,996986380.0,not verified,996986380.0,1000000000.0,631213.0,0.0006068,0.0007498,0.003553,0.0006068,31869,280.0
Coding Dino,6.955e-05,695483.0,52040.0,10000000000.0,not verified,20000000000.0,20000000000.0,1390967.0,6.944e-05,7.152e-05,0.000367,6.511e-05,30541,408.0
Chuan Pu,0.0008999,890905.0,50838.0,989999998.0,not verified,989999998.0,989999998.0,890905.0,0.0008877,0.0009974,0.02083,0.0006693,31928,637.0
Shibwifhat,0.002216,2172733.0,48829.0,980500000.0,not verified,982000000.0,,2176057.0,0.002143,0.002628,0.02161,0.0007503,29430,2544.0
Waka Flocka,0.0002526,252552.0,50519.0,1000000000.0,not verified,1000000000.0,1000000000.0,252552.0,0.0002494,0.0003355,0.002936,0.0002494,31916,283.0
bitFloki,1.291e-06,322859.0,51827.0,250000000000.0,not verified,500000000000.0,1000000000000.0,1291437.0,1.265e-06,1.37e-06,0.0001384,1.219e-06,29998,1013.0
Brett (SOL),0.002035,2035488.0,51193.0,999996963.0,not verified,999996963.0,,2035488.0,0.002028,0.002265,0.02369,0.0001851,28891,7969.0
achi,0.0006375,637484.0,45952.0,1000000000.0,not verified,1000000000.0,,637484.0,0.0006254,0.0008733,0.01733,0.0005645,31390,378.0
BIBI,8.135e-10,3422213.0,47245.0,4206900000000000.0,not verified,4206900000000000.0,4206900000000000.0,3422213.0,8.005e-10,8.567e-10,8.542e-09,1.748e-10,25097,3213.0
What's Updog,0.001527,1527074.0,46870.0,999999048.0,not verified,1000000000.0,,1527075.0,0.001495,0.001558,0.01239,0.0004745,29672,1323.0
Gui Inu,1.122e-05,611004.0,48654.0,54444444444.0,not verified,777777777777.0,777777777777.0,8728627.0,6.751e-06,1.247e-05,0.0001045,6.751e-06,28851,4605.0
bul,3.01e-07,301018.0,46235.0,1000000000000.0,not verified,1000000000000.0,,301018.0,2.78e-07,4.84e-07,4.984e-06,1.048e-07,30446,790.0
PEPE 0x69 ON BASE,8.716e-09,3666788.0,50072.0,420690000000000.0,not verified,420690000000000.0,420690000000000.0,3666788.0,8.458e-09,9.683e-09,1.186e-07,2.651e-09,30890,1975.0
Mahabibi Bin Solman,0.0001239,123909.0,44010.0,1000000000.0,not verified,1000000000.0,,123909.0,0.0001239,0.0001607,0.001851,9.587e-05,30707,2072.0
CATERPILLAR,3.373e-08,1528213.0,41440.0,45310000000000.0,not verified,50000000000000.0,50000000000000.0,1686397.0,2.86e-08,3.823e-08,3.823e-08,1.43e-09,32063,545.0
Cat,9.297e-10,919370.0,49234.0,988882546350418.0,not verified,988882546350418.0,1000000000000000.0,929705.0,9.033e-10,1.055e-09,8.063e-09,,22950,4399.0
Pedro The Raccoon,0.005716,571533.0,39325.0,99983148.0,not verified,99983148.0,,571533.0,0.00517,0.006745,0.1261,0.002744,31170,478.0
Andrea Von Speed,0.0002766,276618.0,42527.0,1000000000.0,not verified,1000000000.0,,276618.0,0.0002046,0.0003231,0.006691,0.000142,29105,933.0
Dork Lord,0.03137,2177916.0,40037.0,69420000.0,not verified,69420000.0,69420000.0,2177916.0,0.02669,0.03712,0.05156,0.002686,31971,338.0
bicho,0.0004213,216745.0,40192.0,514506672.0,not verified,514506672.0,514506672.0,216745.0,0.0004135,0.0005307,0.002577,0.0004135,32099,112.0
Book of Donald Trump,2.043e-06,204275.0,42587.0,100000000000.0,not verified,100000000000.0,100000000000.0,204275.0,1.929e-06,3.616e-06,4.017e-06,1.269e-06,32369,38.0
Book of Ethereum,0.01714,1713593.0,35448.0,100000000.0,not verified,100000000.0,100000000.0,1713593.0,0.0165,0.02264,0.04661,0.008973,31171,172.0
The Big Red,2.669e-06,2669564.0,36775.0,1000000000000.0,not verified,1000000000000.0,1000000000000.0,2669564.0,2.616e-06,3.172e-06,1.483e-05,2.616e-06,29934,1336.0
Dolphy,6.264e-07,263538.0,20482.0,420690000000.0,not verified,420690000000.0,420690000000.0,263538.0,6.047e-07,7.267e-07,8.375e-06,5.243e-07,32209,258.0
Reddit,0.001574,1574356.0,37685.0,1000000000.0,not verified,1000000000.0,1000000000.0,1574356.0,0.001359,0.001803,0.01033,0.001281,30031,894.0
Husky Avax,3.392e-08,2998141.0,36710.0,88387660675250.0,not verified,100000000000000.0,,3392036.0,3.324e-08,3.884e-08,3.776e-07,1.363e-09,11463,8217.0
ZAZA,0.0002085,208540.0,35527.0,999975380.0,not verified,0.0,999975380.0,208540.0,0.0001855,0.0002337,0.002352,0.0001791,32018,205.0
jeffry,0.0005644,237437.0,32425.0,420690000.0,not verified,420690000.0,420690000.0,237437.0,0.0005125,0.0007678,0.01021,0.0005125,32163,116.0
Gauss0x,0.003136,3136479.0,31566.0,1000000000.0,not verified,1000000000.0,1000000000.0,3136479.0,0.003136,0.004069,0.006567,0.00197,30807,110.0
Pepe Maga,1.089e-06,458193829000819.0,37097.0,4.2069e+20,not verified,0.0,,0.0,8.968e-07,1.188e-06,5.867e-06,8.968e-07,32292,93.0
Guufy,4.239e-05,292282.0,34864.0,6894988084.0,not verified,7299988083.0,,309451.0,4.16e-05,4.618e-05,0.0004746,3.451e-05,30479,519.0
You Looked,0.0006719,669963.0,34934.0,997061051.0,not verified,997061051.0,,669963.0,0.0006691,0.0009594,0.0198,0.0003998,29252,920.0
Rare Pepe,4.458e-07,187552.0,38338.0,420690000000.0,not verified,420690000000.0,420690000000.0,187552.0,3.623e-07,5.36e-07,6.189e-06,3.623e-07,32377,1217.0
MEOW,0.01286,18907376.0,34036.0,1469741551.0,not verified,10101010101.0,10101010101.0,129943662.0,0.01281,0.0143,1.2,0.01281,15973,2098.0
ARBUZ,0.0001423,283.0,22612.0,1989897.0,not verified,2989898.0,10000000.0,1423.0,8.113e-05,0.0004676,3.75,8.113e-05,29320,2386.0
Junior,0.02023,950870.0,33855.0,47000000.0,not verified,47000000.0,47000000.0,950870.0,0.01948,0.02398,0.07764,0.01457,32164,73.0
TOP G,0.0005754,237350.0,33532.0,412525609.0,not verified,412525609.0,,237350.0,0.0005711,0.0006221,0.04677,0.0005711,31703,1156.0
Mumu,6.232e-09,4331749.0,33435.0,695039124769394.0,not verified,1000000000000000.0,1000000000000000.0,6232381.0,5.91e-09,6.865e-09,5.047e-08,6.001e-11,24581,14228.0
Calcium,0.003277,1378410.0,32923.0,420690000.0,not verified,420690000.0,420690000.0,1378410.0,0.00308,0.003306,0.07338,0.002855,28170,22240.0
Katchu Coin,0.00335,2713289.0,32835.0,809985537.0,not verified,809985537.0,,2713289.0,0.003313,0.00419,0.005418,0.0006756,31184,10322.0
CEILING CAT,0.0008036,803465.0,27809.0,999883623.0,not verified,999883623.0,,803465.0,0.0007899,0.0009383,0.007563,0.0003718,30642,205.0
Pendy,1.331e-09,559944.0,30334.0,420690000000000.0,not verified,420690000000000.0,420690000000000.0,559944.0,1.153e-09,1.935e-09,2.576e-08,1.066e-09,32269,299.0
mao,0.000178,177993.0,29568.0,1000000000.0,not verified,1000000000.0,1000000000.0,177993.0,0.000178,0.0002397,0.0008009,0.000178,32403,112.0
Boop,4.263e-05,4263451.0,30660.0,100000000000.0,not verified,100000000000.0,100000000000.0,4263451.0,4.198e-05,4.577e-05,0.0004045,3.525e-05,30525,1640.0
Landwolf (Base),5.405e-09,2273970.0,32865.0,420690000000000.0,not verified,420690000000000.0,420690000000000.0,2273970.0,5.303e-09,6.662e-09,2.534e-08,8.245e-10,30824,1393.0
Solordi,0.001453,1453404.0,31906.0,1000000000.0,not verified,1000000000.0,,1453404.0,0.001393,0.001571,0.01562,0.0003296,29077,2027.0
DogWithCap,1.17e-08,539738.0,30010.0,46133333333333.0,not verified,88888888888888.0,,1039957.0,1.157e-08,1.259e-08,1.59e-08,6.523e-09,31429,638.0
Jail Cat,0.0002952,223426.0,28478.0,756812632.0,not verified,756812632.0,,223426.0,0.0002875,0.000416,0.0082,0.0001522,31280,1737.0
ZEBU,0.0001928,192754.0,29854.0,1000000000.0,not verified,1000000000.0,,192754.0,0.0001848,0.0001996,0.002299,0.0001848,29929,1767.0
Senk,0.0008288,826005.0,28437.0,996669757.0,not verified,0.0,,0.0,0.0007277,0.0009183,0.003602,0.0002314,31660,643.0
Peepo,2.434e-08,1673005.0,31868.0,68725800000000.0,not verified,69420000000000.0,69420000000000.0,1689904.0,2.403e-08,2.606e-08,3.268e-07,2.066e-09,24724,3604.0
krazy n.d.,2.562e-09,480254.0,30040.0,187420690000000.0,not verified,187420690000000.0,187420690000000.0,480254.0,1.79e-09,2.973e-09,1.492e-08,1.79e-09,32241,80.0
Pig Finance,2.057e-08,0.0,28685.0,0.0,not verified,1000000000000000.0,1000000000000000.0,20572135.0,2.057e-08,2.139e-08,5.509e-06,,8829,56683.0
go fu*k yourself.,4.845e-07,330032.0,28295.0,681226855745.0,not verified,682021347140.0,690000000000.0,334283.0,4.818e-07,5.059e-07,9.65e-06,4.558e-07,28694,1077.0
Pigcoin,1.266e-06,3637174.0,29248.0,2870000000000.0,not verified,3000000000000.0,3000000000000.0,3801924.0,1.199e-06,1.286e-06,2.449e-05,1.182e-06,30635,2394.0
GM Wagmi,1.947e-06,0.0,28110.0,0.0,not verified,1000000000000.0,,1947868.0,1.894e-06,1.966e-06,0.0009851,1.658e-06,14271,12933.0
Hank,0.0002497,249693.0,29257.0,1000000000.0,not verified,1000000000.0,,249693.0,0.0002114,0.000288,0.004459,0.0002114,31124,4690.0
Chief Troll Officer,1.677e-05,16766.0,29070.0,1000000000.0,not verified,1000000000.0,,16766.0,9.559e-06,2.818e-05,0.0009453,1.818e-06,29040,841.0
CHUCHU,0.05367,45591.0,13173.0,849491.0,not verified,969831.0,,52049.0,0.05221,0.09264,1.2,0.03659,30312,234.0
White Boy Summer,0.0005709,570941.0,23312.0,999992740.0,not verified,100000000.0,,57094.0,0.0005635,0.0006866,0.02695,0.0002965,31290,241.0
NGMI,0.0001146,111185.0,27784.0,970000000.0,not verified,970000000.0,999999981.0,114624.0,0.0001145,0.0001912,0.128,1.113e-05,31918,159.0
Doggensnout Skeptic,2.214e-09,931475.0,25673.0,420690000000000.0,not verified,420690000000000.0,420690000000000.0,931475.0,2.069e-09,2.635e-09,1.572e-08,9.564e-10,29720,946.0
SDOGE,3.54e-07,35413.0,25562.0,100000000000.0,not verified,100000000000.0,,35413.0,3.435e-07,8.144e-07,2.004e-05,2.621e-07,28949,1090.0
toby,1.696e-08,7122815.0,23668.0,420000000000000.0,not verified,420000000000000.0,420000000000000.0,7122815.0,1.689e-08,1.851e-08,5.976e-08,1.001e-08,30657,1838.0
MAGA PEPE (SOL),1.434e-11,603231.0,27720.0,4.2069e+16,not verified,4.2069e+16,,603231.0,1.402e-11,1.616e-11,3.009e-10,4.809e-12,31439,16175.0
Pepe Community,0.0005629,530213.0,27271.0,941933976.0,not verified,941933976.0,1000000000.0,562898.0,0.0005624,0.0005807,0.04541,0.000547,27928,13589.0
canwifhat,0.003401,340096.0,27612.0,100000000.0,not verified,100000000.0,,340096.0,0.003307,0.004805,0.07771,0.001114,30162,1731.0
Rekt,5.114e-10,214808.0,26938.0,420000000000000.0,not verified,420000000000000.0,420000000000000.0,214808.0,5.087e-10,5.164e-10,3.952e-08,4.963e-10,24633,8113.0
Fofar,9.877e-06,4155754.0,27084.0,420690000000.0,not verified,420690000000.0,420690000000.0,4155754.0,9.85e-06,1.112e-05,4.954e-05,1.442e-06,30578,1146.0
Kabosu Family,4.623e-07,40362.0,26357.0,87300000000.0,not verified,100000000000.0,100000000000.0,46234.0,4.614e-07,4.705e-07,4.137e-05,4.614e-07,25195,593.0
Chuck,0.002779,2779143.0,25053.0,1000000000.0,not verified,1000000000.0,1000000000.0,2779143.0,0.002774,0.002905,0.03344,0.002133,30619,961.0
Babydoge 2.0,5.11e-13,106475.0,26223.0,2.0838e+17,not verified,4.2e+17,4.2e+17,214606.0,5.085e-13,5.142e-13,2.192e-11,3.866e-13,27485,2275.0
Zen Panda Coin,2.476e-10,204672.0,26183.0,826666666666666.0,not verified,888888888888888.0,888888888888888.0,220078.0,2.471e-10,2.541e-10,5.993e-09,1.297e-10,25108,448.0
IRON Titanium Token,2.037e-08,711685.0,26048.0,34939843197700.0,not verified,0.0,,0.0,2.026e-08,2.202e-08,52.46,1.649e-08,10467,11173.0
Egypt Cat,0.000933,932977.0,26077.0,1000000000.0,not verified,1000000000.0,,932977.0,0.0009217,0.001032,0.03525,0.000746,31691,535.0
PHRYGES,0.000112,772973.0,22631.0,6899000000.0,not verified,6899000000.0,6899000000.0,772973.0,0.0001041,0.0001363,0.0005499,8.818e-05,32400,62.0
Bull Market,0.0007746,774561.0,25864.0,1000000000.0,not verified,0.0,1000000000.0,774561.0,0.0007298,0.0008472,0.00632,7.755e-05,24679,884.0
